"Name","ModuleVersionStatus","VersionAa","VersionRequired","Global"
"AuditPolicyDsc","Equal","1.4.0.0","1.4.0.0","False"
"Az","Equal","6.5.0","6.5.0","True"
"Az.Accounts","RequiredLower","2.8.0","2.6.1","False"
"Az.Advisor","Equal","1.1.1","1.1.1","True"
"Az.Aks","Equal","2.4.0","2.4.0","True"
"Az.AlertsManagement","Equal","0.2.0","0.2.0","False"
"Az.AnalysisServices","Equal","1.1.4","1.1.4","True"
"Az.ApiManagement","Equal","2.3.0","2.3.0","True"
"Az.AppConfiguration","Equal","1.0.0","1.0.0","True"
"Az.ApplicationInsights","Equal","1.2.0","1.2.0","True"
"Az.Attestation","Equal","1.0.0","1.0.0","True"
"Az.Automation","Equal","1.7.1","1.7.1","True"
"Az.Batch","Equal","3.1.0","3.1.0","True"
"Az.Billing","Equal","2.0.0","2.0.0","True"
"Az.Cdn","Equal","1.8.1","1.8.1","True"
"Az.CloneVirtualMachine","Equal","1.6","1.6","False"
"Az.CognitiveServices","Equal","1.9.0","1.9.0","True"
"Az.Compute","Equal","4.17.1","4.17.1","True"
"Az.ContainerInstance","Equal","2.1.0","2.1.0","True"
"Az.ContainerRegistry","Equal","2.2.3","2.2.3","True"
"Az.CosmosDB","Equal","1.3.1","1.3.1","True"
"Az.DataBoxEdge","Equal","1.1.0","1.1.0","True"
"Az.Databricks","Equal","1.1.0","1.1.0","True"
"Az.DataFactory","Equal","1.15.0","1.15.0","True"
"Az.DataLakeAnalytics","Equal","1.0.2","1.0.2","True"
"Az.DataLakeStore","Equal","1.3.0","1.3.0","True"
"Az.DataShare","Equal","1.0.0","1.0.0","True"
"Az.DeploymentManager","Equal","1.1.0","1.1.0","True"
"Az.DesktopVirtualization","Equal","3.0.0","3.0.0","True"
"Az.DevTestLabs","Equal","1.0.2","1.0.2","True"
"Az.Dns","Equal","1.1.2","1.1.2","True"
"Az.EventGrid","Equal","1.3.0","1.3.0","True"
"Az.EventHub","Equal","1.8.0","1.8.0","True"
"Az.FrontDoor","Equal","1.9.0","1.9.0","True"
"Az.Functions","Equal","3.1.0","3.1.0","True"
"Az.GuestConfiguration","Equal","0.10.8","0.10.8","False"
"Az.HDInsight","Equal","4.3.0","4.3.0","True"
"Az.HealthcareApis","Equal","1.3.1","1.3.1","True"
"Az.IotHub","Equal","2.7.3","2.7.3","True"
"Az.KeyVault","Equal","3.6.1","3.6.1","False"
"Az.Kusto","Equal","2.0.0","2.0.0","True"
"Az.LogicApp","Equal","1.5.0","1.5.0","True"
"Az.MachineLearning","Equal","1.1.3","1.1.3","True"
"Az.Maintenance","Equal","1.2.0","1.2.0","True"
"Az.ManagedServices","Equal","2.0.0","2.0.0","True"
"Az.MarketplaceOrdering","Equal","1.0.2","1.0.2","True"
"Az.Media","Equal","1.1.1","1.1.1","True"
"Az.Migrate","Equal","1.1.1","1.1.1","True"
"Az.Monitor","Equal","2.7.0","2.7.0","True"
"Az.NetAppFiles","Equal","0.3.0","0.3.0","False"
"Az.Network","Equal","4.12.0","4.12.0","True"
"Az.NotificationHubs","Equal","1.1.1","1.1.1","True"
"Az.OperationalInsights","Equal","2.3.1","2.3.1","False"
"Az.PolicyInsights","Equal","1.4.1","1.4.1","True"
"Az.PostgreSql","Equal","0.8.0","0.8.0","False"
"Az.PowerBIEmbedded","Equal","1.1.2","1.1.2","True"
"Az.PrivateDns","Equal","1.0.3","1.0.3","True"
"Az.RecoveryServices","Equal","4.7.0","4.7.0","True"
"Az.RedisCache","Equal","1.5.0","1.5.0","True"
"Az.RedisEnterpriseCache","Equal","1.0.0","1.0.0","True"
"Az.Relay","Equal","1.0.3","1.0.3","True"
"Az.ResourceGraph","Equal","0.8.0","0.8.0","False"
"Az.ResourceMover","Equal","1.0.0","1.0.0","True"
"Az.Resources","Equal","4.4.0","4.4.0","True"
"Az.Security","Equal","1.0.0","1.0.0","True"
"Az.SecurityInsights","Equal","1.1.0","1.1.0","True"
"Az.ServiceBus","Equal","1.5.0","1.5.0","True"
"Az.ServiceFabric","Equal","3.0.1","3.0.1","True"
"Az.SignalR","Equal","1.3.0","1.3.0","True"
"Az.Sql","RequiredLower","3.9.0","3.5.1","True"
"Az.SqlVirtualMachine","Equal","1.1.0","1.1.0","True"
"Az.Storage","Equal","3.12.0","3.12.0","True"
"Az.StorageSync","Equal","1.6.1","1.6.1","True"
"Az.StreamAnalytics","Equal","2.0.0","2.0.0","True"
"Az.Support","Equal","1.0.0","1.0.0","True"
"Az.TrafficManager","Equal","1.0.4","1.0.4","True"
"Az.Websites","Equal","2.8.3","2.8.3","True"
"Azure","RequiredHigher","1.0.3","5.3.1","False"
"Azure.Storage","Equal","4.6.1","4.6.1","False"
"AzureAD","Equal","2.0.2.140","2.0.2.140","False"
"AzureRM.Automation","RequiredHigher","1.0.3","6.1.2","False"
"AzureRM.Compute","RequiredHigher","1.2.1","5.9.2","False"
"AzureRM.Profile","RequiredHigher","1.0.3","5.8.4","False"
"AzureRM.Resources","RequiredHigher","1.0.3","6.7.4","False"
"AzureRM.Sql","RequiredHigher","1.0.3","4.12.2","False"
"AzureRM.Storage","RequiredHigher","1.0.3","5.2.1","False"
"cGPRegistryPolicyDsc","Equal","1.0.1","1.0.1","False"
"ComputerManagementDsc","Equal","7.1.0.0","7.1.0.0","False"
"cPSDesiredStateConfiguration","Equal","0.1.1","0.1.1","False"
"GPRegistryPolicyDsc","Equal","1.2.0","1.2.0","False"
"GPRegistryPolicyParser","Equal","0.2","0.2","True"
"Microsoft.Graph.Authentication","RequiredLower","1.9.6","1.9.0","False"
"Microsoft.Graph.Groups","RequiredLower","1.9.6","1.9.0","False"
"Microsoft.PowerShell.Core","Equal","0.0","0.0","True"
"Microsoft.PowerShell.Diagnostics","Equal","0.0","0.0","True"
"Microsoft.PowerShell.Management","Equal","0.0","0.0","True"
"Microsoft.PowerShell.Security","Equal","0.0","0.0","True"
"Microsoft.PowerShell.Utility","Equal","0.0","0.0","True"
"Microsoft.WSMan.Management","Equal","0.0","0.0","True"
"NetworkingDsc","Equal","7.4.0.0","7.4.0.0","False"
"Orchestrator.AssetManagement.Cmdlets","Equal","1.0","1.0","True"
"PSDscResources","Equal","2.9.0.0","2.9.0.0","True"
"SecurityPolicyDsc","Equal","2.10.0.0","2.10.0.0","False"
"SimplySql","Missing","Missing","1.8.0","False"
"SqlServer","Equal","21.1.18256","21.1.18256","False"
"StateConfigCompositeResources","Equal","1.0","1.0","True"
"StorageDsc","Equal","4.9.0.0","4.9.0.0","False"
"xDSCDomainjoin","Equal","1.1","1.1","True"
"xPowerShellExecutionPolicy","Equal","1.1.0.0","1.1.0.0","True"
"xRemoteDesktopAdmin","Equal","1.1.0.0","1.1.0.0","True"
