name,version
AuditPolicyDsc,1.4.0.0
Az.Accounts,2.6.1
Az.AlertsManagement,0.2.0
Az.ApiManagement,2.2.0
Az.Automation,1.5.2
Az.CloneVirtualMachine,1.6
Az.Compute,4.17.0
Az.DeploymentManager,1.1.0
Az.DevTestLabs,1.0.2
Az.Dns,1.1.2
Az.GuestConfiguration,0.10.8
Az.KeyVault,3.6.1
Az.NetAppFiles,0.3.0
Az.Network,4.12.0
Az.OperationalInsights,2.3.1
Az.PostgreSql,0.8.0
Az.PrivateDns,1.0.3
Az.ResourceGraph,0.8.0
Az.Resources,4.2.0
Az.Sql,3.5.1
Az.Storage,3.12.0
Az.Websites,2.8.3
Azure,5.3.1
Azure.Storage,4.6.1
AzureAD,2.0.2.140
AzureRM.Automation,6.1.2
AzureRM.Compute,5.9.2
AzureRM.Profile,5.8.4
AzureRM.Resources,6.7.4
AzureRM.Sql,4.12.2
AzureRM.Storage,5.2.1
cGPRegistryPolicyDsc,1.0.1
ComputerManagementDsc,7.1.0.0
cPSDesiredStateConfiguration,0.1.1
GPRegistryPolicyDsc,1.2.0
Microsoft.Graph.Authentication,1.9.0
Microsoft.Graph.Groups,1.9.0
NetworkingDsc,7.4.0.0
SecurityPolicyDsc,2.10.0.0
SimplySql,1.8.0
SqlServer,21.1.18256
StorageDsc,4.9.0.0
