"Name","Version","Global"
"AuditPolicyDsc","1.4.0.0","False"
"Az","6.5.0","True"
"Az.Accounts","2.6.1","False"
"Az.Advisor","1.1.1","True"
"Az.Aks","2.4.0","True"
"Az.AlertsManagement","0.2.0","False"
"Az.AnalysisServices","1.1.4","True"
"Az.ApiManagement","2.3.0","True"
"Az.AppConfiguration","1.0.0","True"
"Az.ApplicationInsights","1.2.0","True"
"Az.Attestation","1.0.0","True"
"Az.Automation","1.7.1","True"
"Az.Batch","3.1.0","True"
"Az.Billing","2.0.0","True"
"Az.Cdn","1.8.1","True"
"Az.CloneVirtualMachine","1.6","False"
"Az.CognitiveServices","1.9.0","True"
"Az.Compute","4.17.1","True"
"Az.ContainerInstance","2.1.0","True"
"Az.ContainerRegistry","2.2.3","True"
"Az.CosmosDB","1.3.1","True"
"Az.DataBoxEdge","1.1.0","True"
"Az.Databricks","1.1.0","True"
"Az.DataFactory","1.15.0","True"
"Az.DataLakeAnalytics","1.0.2","True"
"Az.DataLakeStore","1.3.0","True"
"Az.DataShare","1.0.0","True"
"Az.DeploymentManager","1.1.0","True"
"Az.DesktopVirtualization","3.0.0","True"
"Az.DevTestLabs","1.0.2","True"
"Az.Dns","1.1.2","True"
"Az.EventGrid","1.3.0","True"
"Az.EventHub","1.8.0","True"
"Az.FrontDoor","1.9.0","True"
"Az.Functions","3.1.0","True"
"Az.GuestConfiguration","0.10.8","False"
"Az.HDInsight","4.3.0","True"
"Az.HealthcareApis","1.3.1","True"
"Az.IotHub","2.7.3","True"
"Az.KeyVault","3.6.1","False"
"Az.Kusto","2.0.0","True"
"Az.LogicApp","1.5.0","True"
"Az.MachineLearning","1.1.3","True"
"Az.Maintenance","1.2.0","True"
"Az.ManagedServices","2.0.0","True"
"Az.MarketplaceOrdering","1.0.2","True"
"Az.Media","1.1.1","True"
"Az.Migrate","1.1.1","True"
"Az.Monitor","2.7.0","True"
"Az.NetAppFiles","0.3.0","False"
"Az.Network","4.12.0","True"
"Az.NotificationHubs","1.1.1","True"
"Az.OperationalInsights","2.3.1","False"
"Az.PolicyInsights","1.4.1","True"
"Az.PostgreSql","0.8.0","False"
"Az.PowerBIEmbedded","1.1.2","True"
"Az.PrivateDns","1.0.3","True"
"Az.RecoveryServices","4.7.0","True"
"Az.RedisCache","1.5.0","True"
"Az.RedisEnterpriseCache","1.0.0","True"
"Az.Relay","1.0.3","True"
"Az.ResourceGraph","0.8.0","False"
"Az.ResourceMover","1.0.0","True"
"Az.Resources","4.4.0","True"
"Az.Security","1.0.0","True"
"Az.SecurityInsights","1.1.0","True"
"Az.ServiceBus","1.5.0","True"
"Az.ServiceFabric","3.0.1","True"
"Az.SignalR","1.3.0","True"
"Az.Sql","3.5.1","True"
"Az.SqlVirtualMachine","1.1.0","True"
"Az.Storage","3.12.0","True"
"Az.StorageSync","1.6.1","True"
"Az.StreamAnalytics","2.0.0","True"
"Az.Support","1.0.0","True"
"Az.TrafficManager","1.0.4","True"
"Az.Websites","2.8.3","True"
"Azure","5.3.1","False"
"Azure.Storage","4.6.1","False"
"AzureAD","2.0.2.140","False"
"AzureRM.Automation","6.1.2","False"
"AzureRM.Compute","5.9.2","False"
"AzureRM.Profile","5.8.4","False"
"AzureRM.Resources","6.7.4","False"
"AzureRM.Sql","4.12.2","False"
"AzureRM.Storage","5.2.1","False"
"cGPRegistryPolicyDsc","1.0.1","False"
"ComputerManagementDsc","7.1.0.0","False"
"cPSDesiredStateConfiguration","0.1.1","False"
"GPRegistryPolicyDsc","1.2.0","False"
"GPRegistryPolicyParser","0.2","True"
"Microsoft.Graph.Authentication","1.9.0","False"
"Microsoft.Graph.Groups","1.9.0","False"
"Microsoft.PowerShell.Core","0.0","True"
"Microsoft.PowerShell.Diagnostics","0.0","True"
"Microsoft.PowerShell.Management","0.0","True"
"Microsoft.PowerShell.Security","0.0","True"
"Microsoft.PowerShell.Utility","0.0","True"
"Microsoft.WSMan.Management","0.0","True"
"NetworkingDsc","7.4.0.0","False"
"Orchestrator.AssetManagement.Cmdlets","1.0","True"
"PSDscResources","2.9.0.0","True"
"SecurityPolicyDsc","2.10.0.0","False"
"SimplySql","1.8.0","False"
"SqlServer","21.1.18256","False"
"StateConfigCompositeResources","1.0","True"
"StorageDsc","4.9.0.0","False"
"xDSCDomainjoin","1.1","True"
"xPowerShellExecutionPolicy","1.1.0.0","True"
"xRemoteDesktopAdmin","1.1.0.0","True"
